Id,y
0,+
1,+
2,x
3,x
4,o
5,o
6,x
7,o
8,+
9,+
10,o
11,x
12,o
13,o
14,o
15,o
16,o
17,x
18,x
19,o
20,o
21,+
22,x
23,+
24,x
25,o
26,o
27,x
28,x
29,x
30,+
31,o
32,x
33,o
34,o
35,+
36,x
37,o
38,+
39,x
40,o
41,o
42,o
43,x
44,o
45,o
46,o
47,o
48,+
49,x
50,o
51,o
52,o
53,x
54,x
55,+
56,o
57,x
58,+
59,o
60,o
61,o
62,+
63,+
64,o
65,+
66,+
67,x
68,o
69,+
70,o
71,+
72,x
73,x
74,o
75,o
76,+
77,o
78,x
79,+
80,x
81,x
82,x
83,o
84,o
85,+
86,o
87,o
88,o
89,x
90,+
91,+
92,o
93,o
94,x
95,x
96,x
97,+
98,x
99,x
100,+
101,x
102,+
103,+
104,x
105,+
106,x
107,+
108,o
109,o
110,x
111,+
112,o
113,o
114,o
115,x
116,+
117,+
118,x
119,x
120,x
121,+
122,+
123,o
124,x
125,+
126,o
127,x
128,o
129,x
130,o
131,x
132,+
133,o
134,o
135,x
136,x
137,x
138,+
139,+
140,o
141,o
142,x
143,o
144,o
145,x
146,x
147,+
148,o
149,o
150,o
151,o
152,o
153,x
154,o
155,x
156,o
157,+
158,+
159,o
160,x
161,o
162,o
163,x
164,o
165,+
166,x
167,+
168,+
169,x
170,o
171,o
172,+
173,x
174,x
175,o
176,o
177,o
178,+
179,+
180,x
181,+
182,+
183,x
184,+
185,x
186,+
187,x
188,x
189,+
190,o
191,x
192,o
193,+
194,o
195,x
196,x
197,x
198,x
199,+
200,+
201,+
202,o
203,o
204,+
205,x
206,+
207,o
208,o
209,+
210,o
211,o
212,o
213,x
214,+
215,x
216,x
217,o
218,+
219,o
220,o
221,o
222,x
223,+
224,x
225,+
226,+
227,x
228,o
229,x
230,+
231,+
232,x
233,x
234,o
235,x
236,+
237,+
238,o
239,x
240,x
241,x
242,o
243,x
244,+
245,o
246,+
247,+
248,o
249,+
250,x
251,+
252,o
253,+
254,x
255,x
256,+
257,o
258,o
259,o
260,x
261,+
262,+
263,x
264,o
265,x
266,o
267,o
268,o
269,x
270,o
271,x
272,o
273,x
274,x
275,o
276,x
277,x
278,x
279,x
280,o
281,o
282,+
283,o
284,x
285,+
286,o
287,+
288,+
289,+
290,+
291,o
292,x
293,+
294,x
295,+
296,+
297,x
298,o
299,+
300,o
301,o
302,x
303,x
304,+
305,o
306,+
307,o
308,o
309,+
310,o
311,o
312,x
313,x
314,+
315,o
316,x
317,o
318,+
319,+
320,+
321,o
322,x
323,+
324,+
325,o
326,o
327,x
328,+
329,+
330,x
331,x
332,x
333,o
334,o
335,x
336,x
337,+
338,+
339,o
340,o
341,o
342,x
343,+
344,x
345,o
346,o
347,x
348,o
349,x
350,+
351,x
352,x
353,o
354,x
355,o
356,x
357,o
358,+
