,y
0,+
1,x
2,x
3,x
4,o
5,o
6,x
7,o
8,+
9,+
10,+
11,+
12,o
13,o
14,o
15,o
16,o
17,x
18,+
19,o
20,o
21,+
22,x
23,+
24,x
25,o
26,o
27,x
28,x
29,x
30,x
31,x
32,x
33,o
34,o
35,+
36,o
37,o
38,+
39,x
40,+
41,o
42,o
43,x
44,o
45,o
46,o
47,o
48,+
49,+
50,o
51,o
52,o
53,+
54,x
55,x
56,o
57,x
58,+
59,o
60,o
61,o
62,+
63,+
64,o
65,x
66,+
67,+
68,x
69,+
70,o
71,+
72,+
73,+
74,o
75,o
76,+
77,o
78,x
79,+
80,+
81,x
82,x
83,o
84,o
85,+
86,o
87,o
88,o
89,x
90,+
91,+
92,o
93,o
94,+
95,x
96,+
97,x
98,x
99,x
100,+
101,x
102,x
103,x
104,x
105,+
106,x
107,+
108,x
109,o
110,x
111,+
112,o
113,o
114,o
115,x
116,o
117,+
118,x
119,x
120,x
121,+
122,x
123,o
124,x
125,+
126,o
127,x
128,o
129,+
130,o
131,x
132,+
133,o
134,o
135,x
136,+
137,x
138,+
139,o
140,o
141,o
142,+
143,o
144,o
145,x
146,x
147,+
148,o
149,x
150,+
151,o
152,x
153,+
154,o
155,x
156,o
157,+
158,+
159,+
160,x
161,+
162,o
163,x
164,+
165,+
166,x
167,+
168,+
169,x
170,o
171,o
172,x
173,x
174,+
175,o
176,o
177,+
178,o
179,x
180,+
181,x
182,+
183,+
184,+
185,+
186,+
187,x
188,x
189,o
190,o
191,x
192,o
193,+
194,x
195,x
196,x
197,x
198,x
199,x
200,+
201,+
202,o
203,o
204,+
205,+
206,+
207,o
208,o
209,+
210,o
211,o
212,o
213,+
214,+
215,x
216,+
217,o
218,+
219,o
220,o
221,o
222,x
223,x
224,x
225,+
226,+
227,x
228,o
229,x
230,+
231,x
232,x
233,x
234,o
235,+
236,+
237,+
238,o
239,x
240,x
241,x
242,o
243,x
244,+
245,o
246,+
247,+
248,o
249,+
250,x
251,x
252,o
253,+
254,x
255,x
256,+
257,o
258,o
259,o
260,x
261,+
262,+
263,+
264,o
265,x
266,o
267,o
268,x
269,+
270,o
271,x
272,x
273,+
274,x
275,o
276,x
277,x
278,x
279,x
280,+
281,x
282,+
283,o
284,+
285,x
286,o
287,x
288,+
289,+
290,x
291,o
292,x
293,x
294,x
295,x
296,+
297,x
298,x
299,+
300,o
301,+
302,x
303,+
304,x
305,x
306,x
307,x
308,o
309,+
310,x
311,x
312,+
313,+
314,+
315,o
316,x
317,o
318,+
319,+
320,+
321,+
322,x
323,x
324,+
325,o
326,o
327,x
328,+
329,+
330,+
331,+
332,+
333,o
334,o
335,+
336,x
337,+
338,x
339,o
340,o
341,o
342,x
343,x
344,x
345,o
346,o
347,+
348,o
349,+
350,x
351,x
352,x
353,x
354,+
355,+
356,x
357,o
358,o
359,o
360,+
361,+
362,o
363,o
364,x
365,o
366,x
367,x
368,x
369,o
370,o
371,o
372,x
373,o
374,o
375,+
376,o
377,+
378,o
379,o
380,+
381,x
382,x
383,o
384,x
385,x
386,x
387,o
388,x
389,x
390,o
391,x
392,x
393,x
394,x
395,+
396,x
397,x
398,x
399,+
400,+
401,x
402,x
403,o
404,x
405,o
406,x
407,x
408,+
409,+
410,+
411,x
412,o
413,o
414,+
415,+
416,x
417,+
418,o
419,+
420,x
421,o
422,x
423,o
424,x
425,o
426,+
427,o
428,+
429,x
430,o
431,o
432,x
433,x
434,o
435,o
436,+
437,+
438,+
439,o
440,+
441,+
442,+
443,x
444,+
445,o
446,+
447,o
448,x
449,o
450,o
451,+
452,o
453,x
454,+
455,x
456,o
457,x
458,o
459,+
460,x
461,x
462,+
463,o
464,x
465,+
466,x
467,x
468,+
469,x
470,+
471,+
472,+
473,x
474,o
475,o
476,+
477,+
478,x
479,+
480,o
481,+
482,+
483,+
484,x
485,o
486,+
487,o
488,o
489,x
490,+
491,x
492,x
493,x
494,x
495,x
496,o
497,o
498,+
499,o
500,x
501,o
502,x
503,x
504,o
505,o
506,+
507,x
508,x
509,+
510,+
511,+
512,x
513,o
514,o
515,+
516,+
517,x
518,x
519,x
520,+
521,+
522,+
523,o
524,o
525,o
526,x
527,o
528,x
529,x
530,x
531,+
532,+
533,x
534,+
535,x
536,x
537,+
538,o
539,+
540,o
541,+
542,o
543,+
544,o
545,o
546,o
547,x
548,o
549,x
550,o
551,x
552,o
553,+
554,x
555,o
556,o
557,x
558,x
559,o
560,x
561,+
562,o
563,o
564,o
565,+
566,x
567,x
568,o
569,o
570,x
571,x
572,+
573,o
574,o
575,x
576,o
577,x
578,o
579,o
580,+
581,+
582,x
583,+
584,o
585,x
586,x
587,x
588,x
589,x
590,x
591,x
592,o
593,x
594,o
595,o
596,o
597,x
598,x
599,+
600,+
601,x
602,x
603,o
604,+
605,+
606,o
607,x
608,+
609,+
610,o
611,x
612,x
613,x
614,o
615,x
616,o
617,x
618,+
619,+
620,o
621,x
622,x
623,+
624,x
625,x
626,x
627,x
628,x
629,x
630,o
631,o
632,o
633,x
634,x
635,+
636,x
637,x
638,o
639,x
640,+
641,x
642,+
643,x
644,+
645,x
646,o
647,o
648,+
649,+
650,+
651,+
652,+
653,x
654,o
655,+
656,x
657,x
658,x
659,o
660,x
661,+
662,x
663,x
664,x
665,x
666,x
667,x
668,x
669,o
670,o
671,x
672,+
673,x
674,+
675,x
676,o
677,x
678,+
679,x
680,o
681,o
682,o
683,o
684,o
685,+
686,+
687,o
688,o
689,x
690,o
691,o
692,o
693,+
694,x
695,+
696,o
697,x
698,+
699,+
700,x
701,x
702,+
703,o
704,x
705,+
706,x
707,+
708,o
709,o
710,o
711,o
712,+
713,o
714,+
715,o
716,+
717,o
718,x
719,o
720,o
721,o
722,o
723,x
724,x
725,o
726,+
727,o
728,+
729,o
730,x
731,o
732,+
733,+
734,+
735,x
736,o
737,o
738,o
739,o
740,+
741,+
742,o
743,x
744,x
745,+
746,x
747,x
748,x
749,x
750,+
751,o
752,+
753,+
754,x
755,+
756,o
757,o
758,o
759,+
760,x
761,o
762,x
763,x
764,o
765,+
766,+
767,o
768,o
769,x
770,+
771,+
772,+
773,o
774,x
775,o
776,+
777,o
778,x
779,x
780,+
781,x
782,o
783,+
784,o
785,o
786,o
787,x
788,x
789,+
790,+
791,x
792,o
793,x
794,x
795,x
796,o
797,+
798,+
799,o
800,o
801,o
802,x
803,x
804,+
805,o
806,o
807,+
808,o
809,x
810,x
811,x
812,o
813,o
814,o
815,o
816,o
817,x
818,x
819,+
820,o
821,o
822,o
823,x
824,x
825,o
826,x
827,+
828,+
829,x
830,x
831,x
832,o
833,x
834,x
835,o
836,o
837,+
838,x
839,o
840,x
841,x
842,o
843,o
844,x
845,x
846,x
847,+
848,o
849,x
850,o
851,+
852,x
853,+
854,x
855,+
856,+
857,o
858,+
859,o
860,x
861,o
862,+
863,x
864,+
865,o
866,+
867,+
868,o
869,x
870,o
871,+
872,+
873,x
874,o
875,o
876,o
877,x
878,x
879,x
880,x
881,+
882,o
883,+
884,+
885,+
886,x
887,+
888,x
889,o
890,+
891,+
892,+
893,o
894,+
895,o
896,x
897,+
898,x
899,o
900,o
901,x
902,x
903,o
904,o
905,+
906,o
907,o
908,x
909,+
910,x
911,x
912,x
913,x
914,+
915,o
916,x
917,o
918,x
919,+
920,o
921,+
922,o
923,o
924,o
925,+
926,+
927,x
928,o
929,x
930,x
931,+
932,o
933,+
934,o
935,+
936,+
937,+
938,o
939,+
940,x
941,+
942,x
943,o
944,+
945,o
946,x
947,x
948,+
949,x
950,x
951,x
952,o
953,o
954,x
955,+
956,x
957,+
958,+
959,o
960,+
961,x
962,x
963,+
964,x
965,x
966,o
967,x
968,x
969,o
970,x
971,+
972,o
973,o
974,x
975,o
976,x
977,x
